,Date,Location,WindSpeed9am
30663,2009-06-02,Sydney,13.0
30664,2009-06-03,Sydney,6.0
30665,2009-06-04,Sydney,15.0
30666,2009-06-05,Sydney,17.0
30667,2009-06-06,Sydney,17.0
30668,2009-06-07,Sydney,13.0
30669,2009-06-08,Sydney,13.0
30670,2009-06-09,Sydney,17.0
30671,2009-06-10,Sydney,35.0
30672,2009-06-11,Sydney,26.0
30673,2009-06-12,Sydney,22.0
30674,2009-06-13,Sydney,9.0
30675,2009-06-14,Sydney,6.0
30676,2009-06-15,Sydney,15.0
30677,2009-06-16,Sydney,17.0
30678,2009-06-17,Sydney,19.0
30679,2009-06-18,Sydney,11.0
30680,2009-06-19,Sydney,11.0
30681,2009-06-20,Sydney,15.0
30682,2009-06-21,Sydney,4.0
30683,2009-06-22,Sydney,9.0
30684,2009-06-23,Sydney,13.0
30685,2009-06-24,Sydney,7.0
30686,2009-06-25,Sydney,13.0
30687,2009-06-26,Sydney,15.0
30688,2009-06-27,Sydney,7.0
30689,2009-06-28,Sydney,11.0
30690,2009-06-29,Sydney,17.0
30691,2009-06-30,Sydney,28.0
30692,2009-07-01,Sydney,7.0
30693,2009-07-02,Sydney,13.0
30694,2009-07-03,Sydney,44.0
30695,2009-07-04,Sydney,15.0
30696,2009-07-05,Sydney,20.0
30697,2009-07-06,Sydney,19.0
30698,2009-07-07,Sydney,19.0
30699,2009-07-08,Sydney,15.0
30700,2009-07-09,Sydney,13.0
30701,2009-07-10,Sydney,13.0
30702,2009-07-11,Sydney,13.0
30703,2009-07-12,Sydney,9.0
30704,2009-07-13,Sydney,9.0
30705,2009-07-14,Sydney,15.0
30706,2009-07-15,Sydney,17.0
30707,2009-07-16,Sydney,24.0
30708,2009-07-17,Sydney,20.0
30709,2009-07-18,Sydney,15.0
30710,2009-07-19,Sydney,9.0
30711,2009-07-20,Sydney,15.0
30712,2009-07-21,Sydney,15.0
30713,2009-07-22,Sydney,15.0
30714,2009-07-23,Sydney,4.0
30715,2009-07-24,Sydney,20.0
30716,2009-07-25,Sydney,15.0
30717,2009-07-26,Sydney,4.0
30718,2009-07-27,Sydney,19.0
30719,2009-07-28,Sydney,11.0
30720,2009-07-29,Sydney,17.0
30721,2009-07-30,Sydney,22.0
30722,2009-07-31,Sydney,9.0
30723,2009-08-01,Sydney,20.0
30724,2009-08-02,Sydney,20.0
30725,2009-08-03,Sydney,13.0
30726,2009-08-04,Sydney,11.0
30727,2009-08-05,Sydney,17.0
30728,2009-08-06,Sydney,13.0
30729,2009-08-07,Sydney,22.0
30730,2009-08-08,Sydney,22.0
30731,2009-08-09,Sydney,17.0
30732,2009-08-10,Sydney,11.0
30733,2009-08-11,Sydney,13.0
30734,2009-08-12,Sydney,19.0
30735,2009-08-13,Sydney,9.0
30736,2009-08-14,Sydney,20.0
30737,2009-08-15,Sydney,13.0
30738,2009-08-16,Sydney,6.0
30739,2009-08-17,Sydney,22.0
30740,2009-08-18,Sydney,19.0
30741,2009-08-19,Sydney,13.0
30742,2009-08-20,Sydney,13.0
30743,2009-08-21,Sydney,13.0
30744,2009-08-22,Sydney,7.0
30745,2009-08-23,Sydney,13.0
30746,2009-08-24,Sydney,26.0
30747,2009-08-25,Sydney,31.0
30748,2009-08-26,Sydney,13.0
30749,2009-08-27,Sydney,4.0
30750,2009-08-28,Sydney,2.0
30751,2009-08-29,Sydney,20.0
30752,2009-08-30,Sydney,30.0
30753,2009-08-31,Sydney,20.0
30754,2009-09-01,Sydney,13.0
30755,2009-09-02,Sydney,11.0
30756,2009-09-03,Sydney,11.0
30757,2009-09-04,Sydney,11.0
30758,2009-09-05,Sydney,19.0
30759,2009-09-06,Sydney,13.0
30760,2009-09-07,Sydney,17.0
30761,2009-09-08,Sydney,7.0
30762,2009-09-09,Sydney,20.0
30763,2009-09-10,Sydney,20.0
30764,2009-09-11,Sydney,15.0
30765,2009-09-12,Sydney,11.0
30766,2009-09-13,Sydney,20.0
30767,2009-09-14,Sydney,30.0
30768,2009-09-15,Sydney,9.0
30769,2009-09-16,Sydney,9.0
30770,2009-09-17,Sydney,4.0
30771,2009-09-18,Sydney,17.0
30772,2009-09-19,Sydney,9.0
30773,2009-09-20,Sydney,9.0
30774,2009-09-21,Sydney,13.0
30775,2009-09-22,Sydney,24.0
30776,2009-09-23,Sydney,30.0
30777,2009-09-24,Sydney,31.0
30778,2009-09-25,Sydney,17.0
30779,2009-09-26,Sydney,
30780,2009-09-27,Sydney,39.0
30781,2009-09-28,Sydney,30.0
30782,2009-09-29,Sydney,17.0
30783,2009-09-30,Sydney,9.0
30784,2009-10-01,Sydney,15.0
30785,2009-10-02,Sydney,
30786,2009-10-03,Sydney,22.0
30787,2009-10-04,Sydney,6.0
30788,2009-10-05,Sydney,13.0
30789,2009-10-06,Sydney,22.0
30790,2009-10-07,Sydney,20.0
30791,2009-10-08,Sydney,26.0
30792,2009-10-09,Sydney,15.0
30793,2009-10-10,Sydney,15.0
30794,2009-10-11,Sydney,15.0
30795,2009-10-12,Sydney,4.0
30796,2009-10-13,Sydney,26.0
30797,2009-10-14,Sydney,20.0
30798,2009-10-15,Sydney,11.0
30799,2009-10-16,Sydney,33.0
30800,2009-10-17,Sydney,15.0
30801,2009-10-18,Sydney,4.0
30802,2009-10-19,Sydney,7.0
30803,2009-10-20,Sydney,9.0
30804,2009-10-21,Sydney,15.0
30805,2009-10-22,Sydney,9.0
30806,2009-10-23,Sydney,7.0
30807,2009-10-24,Sydney,17.0
30808,2009-10-25,Sydney,7.0
30809,2009-10-26,Sydney,31.0
30810,2009-10-27,Sydney,22.0
30811,2009-10-28,Sydney,13.0
30812,2009-10-29,Sydney,7.0
30813,2009-10-30,Sydney,11.0
30814,2009-10-31,Sydney,17.0
30815,2009-11-01,Sydney,19.0
30816,2009-11-02,Sydney,17.0
30817,2009-11-03,Sydney,9.0
30818,2009-11-04,Sydney,11.0
30819,2009-11-05,Sydney,13.0
30820,2009-11-06,Sydney,24.0
30821,2009-11-07,Sydney,20.0
30822,2009-11-08,Sydney,9.0
30823,2009-11-09,Sydney,19.0
30824,2009-11-10,Sydney,4.0
30825,2009-11-11,Sydney,
30826,2009-11-12,Sydney,17.0
30827,2009-11-13,Sydney,26.0
30828,2009-11-14,Sydney,6.0
30829,2009-11-15,Sydney,17.0
30830,2009-11-16,Sydney,6.0
30831,2009-11-17,Sydney,20.0
30832,2009-11-18,Sydney,4.0
30833,2009-11-19,Sydney,9.0
30834,2009-11-20,Sydney,9.0
30835,2009-11-21,Sydney,4.0
30836,2009-11-22,Sydney,11.0
30837,2009-11-23,Sydney,28.0
30838,2009-11-24,Sydney,13.0
30839,2009-11-25,Sydney,4.0
30840,2009-11-26,Sydney,15.0
30841,2009-11-27,Sydney,17.0
30842,2009-11-28,Sydney,7.0
30843,2009-11-29,Sydney,13.0
30844,2009-11-30,Sydney,19.0
30845,2009-12-01,Sydney,22.0
30846,2009-12-02,Sydney,17.0
30847,2009-12-03,Sydney,2.0
30848,2009-12-04,Sydney,26.0
30849,2009-12-05,Sydney,2.0
30850,2009-12-06,Sydney,11.0
30851,2009-12-07,Sydney,11.0
30852,2009-12-08,Sydney,9.0
30853,2009-12-09,Sydney,17.0
30854,2009-12-10,Sydney,4.0
30855,2009-12-11,Sydney,11.0
30856,2009-12-12,Sydney,7.0
30857,2009-12-13,Sydney,15.0
30858,2009-12-14,Sydney,11.0
30859,2009-12-15,Sydney,15.0
30860,2009-12-16,Sydney,13.0
30861,2009-12-17,Sydney,13.0
30862,2009-12-18,Sydney,11.0
30863,2009-12-19,Sydney,15.0
30864,2009-12-20,Sydney,15.0
30865,2009-12-21,Sydney,17.0
30866,2009-12-22,Sydney,2.0
30867,2009-12-23,Sydney,11.0
30868,2009-12-24,Sydney,7.0
30869,2009-12-25,Sydney,11.0
30870,2009-12-26,Sydney,17.0
30871,2009-12-27,Sydney,20.0
30872,2009-12-28,Sydney,13.0
30873,2009-12-29,Sydney,17.0
30874,2009-12-30,Sydney,20.0
30875,2009-12-31,Sydney,2.0
30876,2010-01-01,Sydney,2.0
30877,2010-01-02,Sydney,
30878,2010-01-03,Sydney,
30879,2010-01-04,Sydney,7.0
30880,2010-01-05,Sydney,13.0
30881,2010-01-06,Sydney,15.0
30882,2010-01-07,Sydney,13.0
30883,2010-01-08,Sydney,13.0
30884,2010-01-09,Sydney,2.0
30885,2010-01-10,Sydney,2.0
30886,2010-01-11,Sydney,11.0
30887,2010-01-12,Sydney,6.0
30888,2010-01-13,Sydney,19.0
30889,2010-01-14,Sydney,22.0
30890,2010-01-15,Sydney,9.0
30891,2010-01-16,Sydney,11.0
30892,2010-01-17,Sydney,0.0
30893,2010-01-18,Sydney,15.0
30894,2010-01-19,Sydney,15.0
30895,2010-01-20,Sydney,7.0
30896,2010-01-21,Sydney,6.0
30897,2010-01-22,Sydney,7.0
30898,2010-01-23,Sydney,26.0
30899,2010-01-24,Sydney,7.0
30900,2010-01-25,Sydney,2.0
30901,2010-01-26,Sydney,6.0
30902,2010-01-27,Sydney,19.0
30903,2010-01-28,Sydney,0.0
30904,2010-01-29,Sydney,7.0
30905,2010-01-30,Sydney,26.0
30906,2010-01-31,Sydney,19.0
30907,2010-02-01,Sydney,13.0
30908,2010-02-02,Sydney,19.0
30909,2010-02-03,Sydney,26.0
30910,2010-02-04,Sydney,28.0
30911,2010-02-05,Sydney,11.0
