,Date,MinTemp,MaxTemp,Rainfall,Year,Month,Day
133,2008-03-13,16.2,29.6,0.0,2008,3,13
134,2008-03-14,15.55,29.9,0.0,2008,3,14
135,2008-03-15,16.55,30.650000000000002,0.0,2008,3,15
136,2008-03-16,15.5,29.049999999999997,0.0,2008,3,16
137,2008-03-17,15.6,27.95,0.0,2008,3,17
138,2008-03-18,15.75,28.299999999999997,0.0,2008,3,18
139,2008-03-19,17.5,26.549999999999997,0.0,2008,3,19
140,2008-03-20,15.6,28.700000000000003,0.0,2008,3,20
141,2008-03-21,15.35,17.200000000000003,0.5,2008,3,21
142,2008-03-22,14.25,21.4,1.1,2008,3,22
143,2008-03-23,14.55,24.85,0.2,2008,3,23
144,2008-03-24,17.0,23.35,8.8,2008,3,24
145,2008-03-25,16.45,22.45,3.4000000000000004,2008,3,25
146,2008-03-26,14.8,23.7,19.4,2008,3,26
147,2008-03-27,9.7,20.950000000000003,0.0,2008,3,27
148,2008-03-28,9.8,19.95,0.0,2008,3,28
149,2008-03-29,10.75,20.7,0.1,2008,3,29
150,2008-03-30,8.65,22.85,0.0,2008,3,30
151,2008-03-31,11.55,22.200000000000003,0.0,2008,3,31
152,2008-04-01,8.6,22.85,0.0,2008,4,1
153,2008-04-02,9.7,26.0,0.0,2008,4,2
154,2008-04-03,11.7,18.25,1.3,2008,4,3
155,2008-04-04,5.8,20.549999999999997,0.0,2008,4,4
156,2008-04-05,7.4,22.049999999999997,0.0,2008,4,5
157,2008-04-06,9.5,22.25,0.0,2008,4,6
158,2008-04-07,11.7,21.25,6.0,2008,4,7
159,2008-04-08,10.75,20.5,4.8,2008,4,8
160,2008-04-09,10.6,20.85,11.4,2008,4,9
161,2008-04-10,10.5,22.799999999999997,1.1,2008,4,10
162,2008-04-11,10.6,23.45,0.0,2008,4,11
163,2008-04-12,10.05,23.950000000000003,0.0,2008,4,12
164,2008-04-13,11.1,21.25,1.0,2008,4,13
165,2008-04-14,9.399999999999999,18.45,8.1,2008,4,14
166,2008-04-15,9.600000000000001,20.2,1.4,2008,4,15
167,2008-04-16,10.05,20.1,0.7,2008,4,16
168,2008-04-17,10.1,20.35,2.3,2008,4,17
169,2008-04-18,11.600000000000001,19.85,3.2,2008,4,18
170,2008-04-19,12.15,18.75,2.5,2008,4,19
171,2008-04-20,11.649999999999999,18.9,1.4,2008,4,20
172,2008-04-21,8.549999999999999,19.950000000000003,10.9,2008,4,21
173,2008-04-22,10.0,19.6,5.1,2008,4,22
174,2008-04-23,11.1,18.45,6.3,2008,4,23
175,2008-04-24,8.6,20.6,7.8,2008,4,24
176,2008-04-25,10.9,21.049999999999997,2.7,2008,4,25
177,2008-04-26,8.25,23.25,0.30000000000000004,2008,4,26
178,2008-04-27,11.75,22.4,0.0,2008,4,27
179,2008-04-28,8.1,14.05,3.6,2008,4,28
180,2008-04-29,3.25,16.1,0.1,2008,4,29
181,2008-04-30,3.3000000000000003,17.200000000000003,0.0,2008,4,30
182,2008-05-01,7.699999999999999,16.0,0.0,2008,5,1
183,2008-05-02,6.45,19.75,0.0,2008,5,2
184,2008-05-03,5.7,18.35,0.0,2008,5,3
185,2008-05-04,4.25,18.5,0.0,2008,5,4
186,2008-05-05,4.9,20.65,0.0,2008,5,5
187,2008-05-06,9.65,20.200000000000003,0.0,2008,5,6
188,2008-05-07,10.65,20.3,0.0,2008,5,7
189,2008-05-08,5.4,19.950000000000003,0.0,2008,5,8
190,2008-05-09,5.55,21.45,0.0,2008,5,9
191,2008-05-10,7.05,21.1,0.0,2008,5,10
192,2008-05-11,11.15,18.4,0.0,2008,5,11
193,2008-05-12,10.9,19.35,0.0,2008,5,12
194,2008-05-13,7.25,19.35,0.0,2008,5,13
195,2008-05-14,6.699999999999999,19.6,0.0,2008,5,14
196,2008-05-15,5.8,19.65,0.1,2008,5,15
197,2008-05-16,9.15,19.6,1.5,2008,5,16
198,2008-05-17,11.55,17.05,0.5,2008,5,17
199,2008-05-18,6.550000000000001,15.95,0.4,2008,5,18
200,2008-05-19,3.9999999999999996,19.3,0.0,2008,5,19
201,2008-05-20,5.300000000000001,19.35,0.0,2008,5,20
202,2008-05-21,7.449999999999999,18.15,0.0,2008,5,21
203,2008-05-22,7.15,16.7,0.0,2008,5,22
204,2008-05-23,6.1,16.6,0.0,2008,5,23
205,2008-05-24,6.3,17.3,0.0,2008,5,24
206,2008-05-25,4.25,17.9,0.0,2008,5,25
207,2008-05-26,7.800000000000001,19.8,2.1,2008,5,26
208,2008-05-27,8.2,20.25,2.6,2008,5,27
209,2008-05-28,6.2,18.0,0.0,2008,5,28
210,2008-05-29,6.6,18.05,0.6,2008,5,29
211,2008-05-30,5.4,19.5,0.1,2008,5,30
212,2008-05-31,4.95,19.3,0.0,2008,5,31
213,2008-06-01,6.1,17.25,0.1,2008,6,1
214,2008-06-02,9.45,16.65,11.0,2008,6,2
215,2008-06-03,12.5,16.75,2.4,2008,6,3
216,2008-06-04,13.05,16.7,6.5,2008,6,4
217,2008-06-05,11.5,16.0,23.2,2008,6,5
218,2008-06-06,9.55,17.049999999999997,6.2,2008,6,6
219,2008-06-07,5.75,16.85,0.0,2008,6,7
220,2008-06-08,8.5,16.1,3.0,2008,6,8
221,2008-06-09,10.2,16.6,1.8,2008,6,9
222,2008-06-10,10.5,16.799999999999997,3.9000000000000004,2008,6,10
223,2008-06-11,11.7,17.45,2.4,2008,6,11
224,2008-06-12,10.5,19.25,2.8000000000000003,2008,6,12
225,2008-06-13,11.35,15.9,0.3,2008,6,13
226,2008-06-14,5.3,13.2,0.0,2008,6,14
227,2008-06-15,6.35,15.0,0.0,2008,6,15
228,2008-06-16,9.850000000000001,16.85,3.6,2008,6,16
229,2008-06-17,9.25,16.5,1.7,2008,6,17
230,2008-06-18,7.0,17.45,0.0,2008,6,18
231,2008-06-19,8.4,18.1,0.0,2008,6,19
232,2008-06-20,11.100000000000001,14.799999999999999,4.2,2008,6,20
233,2008-06-21,6.0,16.2,1.4000000000000001,2008,6,21
234,2008-06-22,6.949999999999999,15.65,0.0,2008,6,22
235,2008-06-23,4.55,15.0,0.0,2008,6,23
236,2008-06-24,5.0,16.1,0.0,2008,6,24
237,2008-06-25,7.1,16.1,0.0,2008,6,25
238,2008-06-26,8.25,16.0,0.0,2008,6,26
239,2008-06-27,6.5,16.85,0.0,2008,6,27
240,2008-06-28,3.2,16.75,0.0,2008,6,28
241,2008-06-29,4.55,18.5,0.0,2008,6,29
242,2008-06-30,4.85,18.75,0.0,2008,6,30
243,2008-07-01,8.9375,18.962500000000002,1.525,2008,7,1
244,2008-07-02,10.0125,18.674999999999997,2.225,2008,7,2
245,2008-07-03,7.762499999999999,18.137500000000003,0.6,2008,7,3
246,2008-07-04,7.375,17.212500000000002,0.6749999999999999,2008,7,4
247,2008-07-05,7.612500000000001,17.05,2.0,2008,7,5
248,2008-07-06,6.9125,17.85,3.2857142857142856,2008,7,6
249,2008-07-07,8.3125,18.1375,2.125,2008,7,7
250,2008-07-08,8.774999999999999,16.675,8.950000000000001,2008,7,8
251,2008-07-09,7.012500000000001,16.0,1.9000000000000001,2008,7,9
252,2008-07-10,8.3125,16.8,2.4000000000000004,2008,7,10
253,2008-07-11,8.737499999999999,16.2125,0.8999999999999999,2008,7,11
254,2008-07-12,6.8375,16.7875,0.6857142857142858,2008,7,12
255,2008-07-13,8.575,18.1625,0.028571428571428574,2008,7,13
256,2008-07-14,9.450000000000001,20.425,0.475,2008,7,14
257,2008-07-15,10.0375,19.1375,0.6,2008,7,15
258,2008-07-16,9.0,17.612499999999997,3.825,2008,7,16
259,2008-07-17,8.0875,17.8375,0.725,2008,7,17
260,2008-07-18,8.375,18.3125,2.85,2008,7,18
261,2008-07-19,7.699999999999999,17.65,2.5714285714285716,2008,7,19
262,2008-07-20,7.475,16.7625,0.14285714285714285,2008,7,20
263,2008-07-21,8.5,17.1625,5.725,2008,7,21
264,2008-07-22,7.299999999999999,16.975,0.95,2008,7,22
265,2008-07-23,7.675,16.0625,0.125,2008,7,23
266,2008-07-24,6.800000000000001,16.7,4.85,2008,7,24
267,2008-07-25,6.6375,17.0375,3.9,2008,7,25
268,2008-07-26,6.025,17.025,4.2,2008,7,26
269,2008-07-27,5.8125,16.3,1.7999999999999998,2008,7,27
270,2008-07-28,6.55,15.4625,1.9749999999999999,2008,7,28
271,2008-07-29,7.299999999999999,17.0,5.7250000000000005,2008,7,29
272,2008-07-30,6.749999999999999,17.1375,4.275,2008,7,30
273,2008-07-31,5.775,18.612499999999997,0.525,2008,7,31
274,2008-08-01,8.5375,18.8625,1.5,2008,8,1
275,2008-08-02,9.7875,17.675,3.6285714285714286,2008,8,2
276,2008-08-03,7.937500000000002,19.0375,0.028571428571428574,2008,8,3
277,2008-08-04,7.175000000000001,18.625,1.0499999999999998,2008,8,4
278,2008-08-05,6.237499999999999,18.737499999999997,2.05,2008,8,5
279,2008-08-06,7.625,18.425,0.675,2008,8,6
280,2008-08-07,7.0874999999999995,17.4875,1.5,2008,8,7
281,2008-08-08,7.512499999999999,18.0,0.875,2008,8,8
282,2008-08-09,6.325,17.1875,0.31428571428571433,2008,8,9
283,2008-08-10,5.9375,16.275000000000002,0.7428571428571429,2008,8,10
284,2008-08-11,6.15,17.0625,4.275,2008,8,11
285,2008-08-12,6.7,16.8,0.22499999999999998,2008,8,12
286,2008-08-13,7.0375,17.487499999999997,0.8500000000000001,2008,8,13
287,2008-08-14,7.3375,17.537499999999998,1.9,2008,8,14
288,2008-08-15,8.875,18.5875,0.45,2008,8,15
289,2008-08-16,8.6,18.287499999999998,1.1142857142857143,2008,8,16
290,2008-08-17,6.5375,17.8,1.7000000000000002,2008,8,17
291,2008-08-18,5.5,17.650000000000002,0.175,2008,8,18
292,2008-08-19,5.975,18.6,0.075,2008,8,19
293,2008-08-20,7.5375,18.775000000000002,0.125,2008,8,20
294,2008-08-21,9.1625,17.5625,0.19999999999999998,2008,8,21
295,2008-08-22,7.0625,17.625,2.975,2008,8,22
296,2008-08-23,7.012499999999999,17.937499999999996,4.025,2008,8,23
297,2008-08-24,6.0,19.0125,0.025,2008,8,24
298,2008-08-25,6.7875,19.05,0.0,2008,8,25
299,2008-08-26,8.1625,20.5,0.0,2008,8,26
300,2008-08-27,8.2375,20.125,0.025,2008,8,27
301,2008-08-28,8.8375,19.3125,0.3,2008,8,28
302,2008-08-29,9.3125,20.35,0.8250000000000001,2008,8,29
303,2008-08-30,9.125,20.112499999999997,0.08571428571428573,2008,8,30
304,2008-08-31,11.8875,20.587500000000002,3.2249999999999996,2008,8,31
305,2008-09-01,11.024999999999999,20.0375,1.7750000000000001,2008,9,1
306,2008-09-02,9.6375,20.487499999999997,0.45,2008,9,2
307,2008-09-03,9.862499999999999,19.185714285714283,0.05,2008,9,3
308,2008-09-04,10.575000000000001,19.175,0.825,2008,9,4
309,2008-09-05,10.375,19.9625,5.550000000000001,2008,9,5
310,2008-09-06,11.0,20.475,8.25,2008,9,6
311,2008-09-07,9.925,20.25,3.085714285714286,2008,9,7
312,2008-09-08,8.924999999999999,19.8,0.325,2008,9,8
313,2008-09-09,8.0375,19.625,0.125,2008,9,9
314,2008-09-10,8.2375,21.0625,0.0,2008,9,10
315,2008-09-11,10.0625,21.799999999999997,0.325,2008,9,11
316,2008-09-12,12.0625,23.5625,0.15000000000000002,2008,9,12
317,2008-09-13,13.95,25.724999999999998,1.0750000000000002,2008,9,13
318,2008-09-14,15.337499999999999,21.975,1.9428571428571428,2008,9,14
319,2008-09-15,12.4,21.4625,1.3749999999999998,2008,9,15
320,2008-09-16,10.2,19.449999999999996,0.9000000000000001,2008,9,16
321,2008-09-17,9.7375,20.075,1.0499999999999998,2008,9,17
322,2008-09-18,11.499999999999998,21.8375,0.225,2008,9,18
323,2008-09-19,13.7875,24.525000000000006,0.55,2008,9,19
324,2008-09-20,13.125,23.7125,0.275,2008,9,20
325,2008-09-21,11.5,22.500000000000004,1.875,2008,9,21
326,2008-09-22,12.1,23.125000000000004,0.675,2008,9,22
327,2008-09-23,11.175,20.6875,4.2250000000000005,2008,9,23
328,2008-09-24,10.65,21.5,0.9500000000000001,2008,9,24
329,2008-09-25,11.1875,22.674999999999997,2.625,2008,9,25
330,2008-09-26,12.649999999999999,24.224999999999994,1.775,2008,9,26
331,2008-09-27,11.95,25.2125,0.375,2008,9,27
332,2008-09-28,14.2125,24.3875,0.025,2008,9,28
333,2008-09-29,10.825,22.5,0.5,2008,9,29
334,2008-09-30,10.775,21.2625,0.725,2008,9,30
335,2008-10-01,12.0375,24.375,0.075,2008,10,1
336,2008-10-02,14.475000000000001,25.812500000000004,0.775,2008,10,2
337,2008-10-03,14.5625,25.875,0.05,2008,10,3
338,2008-10-04,13.2875,21.487499999999997,3.4285714285714284,2008,10,4
339,2008-10-05,11.225,23.012500000000003,0.9714285714285715,2008,10,5
340,2008-10-06,12.950000000000003,22.442857142857143,0.42857142857142855,2008,10,6
341,2008-10-07,10.571428571428571,20.575000000000003,2.025,2008,10,7
342,2008-10-08,10.525,22.0375,2.375,2008,10,8
343,2008-10-09,10.987499999999999,22.924999999999997,0.175,2008,10,9
344,2008-10-10,12.174999999999999,24.5875,2.825,2008,10,10
345,2008-10-11,13.0125,25.162499999999994,0.95,2008,10,11
346,2008-10-12,13.825,25.8875,0.325,2008,10,12
347,2008-10-13,13.712499999999999,23.887500000000003,0.35,2008,10,13
348,2008-10-14,14.025,23.15,1.7249999999999999,2008,10,14
349,2008-10-15,13.675,23.637499999999996,8.45,2008,10,15
350,2008-10-16,12.225000000000001,23.2875,3.5250000000000004,2008,10,16
351,2008-10-17,13.112499999999999,24.650000000000002,0.07500000000000001,2008,10,17
352,2008-10-18,14.225,27.8375,3.425,2008,10,18
353,2008-10-19,14.3625,25.762500000000003,0.0,2008,10,19
354,2008-10-20,14.5375,25.175,0.025,2008,10,20
355,2008-10-21,13.5125,23.1375,0.225,2008,10,21
356,2008-10-22,11.987499999999999,21.375,4.300000000000001,2008,10,22
357,2008-10-23,10.6625,23.8125,1.425,2008,10,23
358,2008-10-24,12.5625,24.9375,0.875,2008,10,24
359,2008-10-25,13.45,26.9375,2.5749999999999997,2008,10,25
360,2008-10-26,15.4125,26.4125,0.025,2008,10,26
361,2008-10-27,15.15,27.1875,0.35,2008,10,27
362,2008-10-28,14.012500000000001,23.799999999999997,0.275,2008,10,28
363,2008-10-29,14.274999999999999,22.987499999999997,1.55,2008,10,29
364,2008-10-30,14.987499999999999,26.51428571428571,1.025,2008,10,30
365,2008-10-31,15.314285714285713,25.575,0.08571428571428573,2008,10,31
366,2008-11-01,14.462499999999999,24.025,0.17142857142857146,2008,11,1
367,2008-11-02,14.8625,26.000000000000004,0.8250000000000001,2008,11,2
368,2008-11-03,15.975000000000001,23.7125,2.725,2008,11,3
369,2008-11-04,13.837499999999999,23.175,2.125,2008,11,4
370,2008-11-05,13.5625,23.15,1.25,2008,11,5
371,2008-11-06,13.674999999999999,26.2125,4.025,2008,11,6
372,2008-11-07,14.3625,24.549999999999997,1.15,2008,11,7
373,2008-11-08,15.912499999999998,23.8125,3.375,2008,11,8
374,2008-11-09,14.3875,25.6,1.2,2008,11,9
375,2008-11-10,15.375,26.512500000000003,0.075,2008,11,10
376,2008-11-11,15.7,28.125,0.05,2008,11,11
377,2008-11-12,17.3,28.5375,0.125,2008,11,12
378,2008-11-13,17.975,28.9625,1.1,2008,11,13
379,2008-11-14,16.625,26.075,1.4,2008,11,14
380,2008-11-15,15.750000000000002,25.325000000000003,1.275,2008,11,15
381,2008-11-16,14.05,24.45,0.85,2008,11,16
382,2008-11-17,14.537500000000001,24.1125,3.975,2008,11,17
383,2008-11-18,15.1875,23.224999999999998,2.0,2008,11,18
384,2008-11-19,15.950000000000001,25.0625,11.45,2008,11,19
385,2008-11-20,16.85,23.9,17.924999999999997,2008,11,20
386,2008-11-21,14.3375,25.012500000000003,4.625,2008,11,21
387,2008-11-22,13.8375,21.450000000000003,4.95,2008,11,22
388,2008-11-23,13.100000000000001,21.8,6.8,2008,11,23
389,2008-11-24,13.937499999999998,24.049999999999997,0.975,2008,11,24
390,2008-11-25,15.337499999999999,24.925,0.525,2008,11,25
391,2008-11-26,15.4125,25.3625,1.4749999999999999,2008,11,26
392,2008-11-27,16.400000000000002,26.275000000000002,3.3249999999999997,2008,11,27
393,2008-11-28,17.025,23.9,2.6999999999999997,2008,11,28
394,2008-11-29,16.349999999999998,23.800000000000004,4.875,2008,11,29
395,2008-11-30,13.599999999999998,25.3625,5.325,2008,11,30
396,2008-12-01,14.186363636363637,25.18095238095238,1.718181818181818,2008,12,1
397,2008-12-02,13.142857142857142,25.999999999999996,0.8818181818181817,2008,12,2
398,2008-12-03,15.522727272727273,26.282608695652176,0.4272727272727273,2008,12,3
399,2008-12-04,14.317391304347824,25.44782608695652,0.6608695652173914,2008,12,4
400,2008-12-05,16.778260869565216,27.44782608695652,2.191304347826087,2008,12,5
401,2008-12-06,16.660869565217393,27.878260869565214,1.0434782608695652,2008,12,6
402,2008-12-07,15.686956521739129,24.691304347826087,1.8,2008,12,7
403,2008-12-08,14.004545454545456,25.36086956521739,4.68695652173913,2008,12,8
404,2008-12-09,14.51304347826087,25.82608695652174,0.9565217391304346,2008,12,9
405,2008-12-10,15.486363636363636,24.84090909090909,3.072727272727273,2008,12,10
406,2008-12-11,15.55,24.917391304347827,1.4,2008,12,11
407,2008-12-12,16.152173913043477,23.56086956521739,3.452173913043478,2008,12,12
408,2008-12-13,16.58695652173913,24.626086956521732,24.7304347826087,2008,12,13
409,2008-12-14,16.065217391304348,24.030434782608694,3.8521739130434787,2008,12,14
410,2008-12-15,13.773913043478261,24.373913043478257,3.069565217391304,2008,12,15
411,2008-12-16,13.669565217391304,24.97391304347826,2.0999999999999996,2008,12,16
412,2008-12-17,15.052173913043475,25.078260869565216,1.8869565217391304,2008,12,17
413,2008-12-18,15.882608695652177,25.786956521739132,3.069565217391305,2008,12,18
414,2008-12-19,14.526086956521745,24.35217391304348,3.895652173913043,2008,12,19
415,2008-12-20,13.899999999999997,24.65652173913044,2.217391304347826,2008,12,20
416,2008-12-21,14.400000000000002,26.804347826086957,0.7217391304347827,2008,12,21
417,2008-12-22,16.51739130434783,28.69130434782608,0.11304347826086955,2008,12,22
418,2008-12-23,16.991304347826087,26.721739130434784,0.7999999999999999,2008,12,23
419,2008-12-24,16.008695652173916,25.827272727272728,1.373913043478261,2008,12,24
420,2008-12-25,15.954545454545455,27.343478260869563,0.7217391304347825,2008,12,25
421,2008-12-26,17.156521739130433,29.143478260869564,0.3739130434782609,2008,12,26
422,2008-12-27,18.02173913043478,28.2695652173913,1.9739130434782608,2008,12,27
423,2008-12-28,17.459090909090914,28.09565217391304,6.504347826086956,2008,12,28
424,2008-12-29,16.830434782608695,25.97391304347826,3.617391304347827,2008,12,29
425,2008-12-30,16.18260869565217,26.221739130434784,3.260869565217391,2008,12,30
426,2008-12-31,15.582608695652175,26.55217391304348,4.8,2008,12,31
427,2009-01-01,15.482222222222223,28.144444444444446,0.5288888888888889,2009,1,1
428,2009-01-02,14.904545454545458,25.351111111111106,0.25777777777777783,2009,1,2
429,2009-01-03,13.944444444444441,25.940000000000005,0.42222222222222217,2009,1,3
430,2009-01-04,14.893181818181818,29.466666666666665,0.9333333333333333,2009,1,4
431,2009-01-05,15.891111111111107,31.068888888888885,0.6222222222222222,2009,1,5
432,2009-01-06,17.224999999999998,31.864444444444448,0.3377777777777778,2009,1,6
433,2009-01-07,17.797777777777778,30.34444444444445,0.08444444444444445,2009,1,7
434,2009-01-08,16.917777777777776,25.922222222222214,0.11363636363636363,2009,1,8
435,2009-01-09,14.975555555555555,25.8,0.4888888888888889,2009,1,9
436,2009-01-10,14.79318181818182,27.502222222222215,3.151111111111111,2009,1,10
437,2009-01-11,15.12666666666667,29.082222222222224,1.3955555555555554,2009,1,11
438,2009-01-12,16.1,28.66666666666666,7.026666666666666,2009,1,12
439,2009-01-13,16.51777777777778,31.82444444444445,7.213333333333333,2009,1,13
440,2009-01-14,18.051111111111116,32.55333333333333,1.2133333333333332,2009,1,14
